"scenario","target","AgeGroup","tot_vacc","pre_vacc","pre_vacc_lo","pre_vacc_hi","post_vacc","post_vacc_lo","post_vacc_hi","pre_fatal","pre_fatal_lo","pre_fatal_hi","post_fatal","post_fatal_lo","post_fatal_hi","pre_daly","pre_daly_lo","pre_daly_hi","post_daly","post_daly_lo","post_daly_hi","diff","diff_low","diff_hi","diff_fatal","diff_fatal_low","diff_fatal_hi","diff_daly","diff_daly_low","diff_daly_hi","region","rho_p50","rho_p2.5","rho_p97.5","scenario_vacc","nnv","nnv_lo","nnv_hi","nnv_fatal","nnv_fatal_lo","nnv_fatal_hi","nnv_daly","nnv_daly_lo","nnv_daly_hi","tot_pop","tot_vacc_prop","age_gr","VE","VC","setting"
"Scenario_1","<1 (novacc)",1,0,5360.11377029458,4769.37178121381,6065.00931067969,5360.11377029458,4769.37178121381,6065.00931067969,8.08483283683892,7.1663608471222,9.17548631739299,8.08483283683892,7.1663608471222,9.17548631739299,882.549903341904,778.294191868193,1005.60114975894,882.549903341904,778.294191868193,1005.60114975894,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,105039,0,"<1","VE0","cov10","High"
"Scenario_1","1-11 years",2,46929.6,23325.0834986378,20765.9670149126,26322.4644461018,21277.3457985837,18936.8478139754,24019.4229611426,35.1819772999767,31.2043133728722,39.8206896823008,32.0933083447802,28.4554296662767,36.3369018762927,3840.50620366465,3389.17000000706,4364.00323761177,3503.3434517716,3090.55962682149,3982.24782562659,2047.7377000541,1829.11920093719,2303.04148495913,3.08866895519655,2.74888370659547,3.48378780600815,337.162751893043,298.610373185571,381.755411985177,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,64.4640180216991,57.3178559144984,72.1688340116731,42738.6042061604,37891.3433741123,48021.4567401582,391.518337238733,345.785274696055,442.065687778252,469296,0.1,"1-4","VE0","cov10","High"
"Scenario_1","1-11 years",3,60989.5,28712.6293858917,25563.9525707379,32392.6083003576,26323.5335935799,23429.860536276,29705.6315885996,43.3081868854224,38.41433050329,49.0034233954552,39.7046364870929,35.207118543305,44.93886155017,4727.57284176414,4172.30214569802,5370.32313928795,4334.20502329274,3823.90354619222,4924.92631983062,2389.0957923118,2134.09203446188,2686.976711758,3.60355039832944,3.20721195998506,4.06456184528516,393.367818471407,348.398599505799,445.396819457332,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,55.2532888906332,49.127854150114,61.8555328769059,36632.0393524109,32477.153755976,41158.9260850146,335.577527701583,296.377060260184,378.89187897784,609895,0.1,"5–9","VE0","cov10","High"
"Scenario_1","1-11 years",4,24086.3,10928.6026677536,9705.74117743779,12368.6864781874,10061.371415618,8931.07687187409,11393.3512324674,16.4839646125951,14.583091886718,18.7124807844597,15.1758916863719,13.4188901374064,17.2371016511637,1644.52601110266,1446.67567025059,1875.06376556893,1514.02585521483,1331.14748440418,1727.25363919032,867.231252135543,774.664305563704,975.335245719983,1.30807292622318,1.16420174931165,1.47537913329603,130.500155887833,115.528185846408,147.810126378605,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,152.214763565011,135.343617058107,170.403359302767,100915.93316677,89472.1885520348,113387.048317055,1011.53442386277,893.074129859532,1142.62505753789,240863,0.1,"10-11","VE0","cov10","High"
"Scenario_1","12-17 years",5,0,33109.3833592583,29479.344081822,37343.5992518927,33109.3833592583,29479.344081822,37343.5992518927,19.1486469959603,17.0264086164482,21.6203079123439,19.1486469959603,17.0264086164482,21.6203079123439,3085.49270969179,2733.96643410922,3493.32273824168,3085.49270969179,2733.96643410922,3493.32273824168,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,769437,0,NA,"VE0","cov10","High"
"Scenario_1","18-59 years",6,0,10701.6636468642,9473.0651166557,12156.5015142234,10701.6636468642,9473.0651166557,12156.5015142234,6.18925388068282,5.4709123066568,7.03843984877957,6.18925388068282,5.4709123066568,7.03843984877957,997.297497379696,878.285669664228,1137.39276895908,997.297497379696,878.285669664228,1137.39276895908,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,256717,0,"18–19","VE0","cov10","High"
"Scenario_1","18-59 years",7,0,27670.5326759823,24619.377461308,31237.9703731297,27670.5326759823,24619.377461308,31237.9703731297,9.55588201736284,8.49799507788444,10.7920645663951,9.55588201736284,8.49799507788444,10.7920645663951,2181.57421706736,1934.21088058944,2469.64181340453,2181.57421706736,1934.21088058944,2469.64181340453,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,701679,0,"20–24","VE0","cov10","High"
"Scenario_1","18-59 years",8,0,26683.3075089007,23747.9623529433,30135.1433432646,26683.3075089007,23747.9623529433,30135.1433432646,9.21494867387893,8.19720250968223,10.4110623470685,9.21494867387893,8.19720250968223,10.4110623470685,2103.74033522039,1865.74558680965,2382.45575787912,2103.74033522039,1865.74558680965,2382.45575787912,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,719689,0,"25–29","VE0","cov10","High"
"Scenario_1","18-59 years",9,0,24478.8405469795,21772.8998376337,27654.8895348828,24478.8405469795,21772.8998376337,27654.8895348828,9.81364619254774,8.71866837838675,11.0970919330836,9.81364619254774,8.71866837838675,11.0970919330836,1922.26995822141,1703.62639205801,2177.8301021634,1922.26995822141,1703.62639205801,2177.8301021634,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,699417,0,"30–34","VE0","cov10","High"
"Scenario_1","18-59 years",10,0,23234.4947508877,20651.8593683737,26287.6226950111,23234.4947508877,20651.8593683737,26287.6226950111,9.31478394616833,8.26966483722713,10.5485250418004,9.31478394616833,8.26966483722713,10.5485250418004,1824.5541968529,1615.85105601852,2070.2040923758,1824.5541968529,1615.85105601852,2070.2040923758,0,0,0,0,0,0,0,0,0,"Ceará",0.103856069451827,0.0741175155897677,0.140287888943536,132005.4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,702201,0,"35–39","VE0","cov10","High"
